accession	source_cluster	f_miss_full_cohort	country	geography	host
ERR274221	Mf	0.00413075	Malaysia	Sarawak	Human
ERR985404	Mf	0.00434051	Malaysia	Sarawak	Human
ERR985380	Mf	0.00437789	Malaysia	Sarawak	Human
ERR274222	Mf	0.0046458	Malaysia	Sarawak	Human
ERR985388	Mf	0.00467487	Malaysia	Sarawak	Human
ERR985387	Mf	0.00467556	Malaysia	Sarawak	Human
ERR985377	Mf	0.00489709	Malaysia	Sarawak	Human
ERR985403	Mf	0.00496285	Malaysia	Sarawak	Human
ERR985385	Mf	0.00498777	Malaysia	Sarawak	Human
ERR985381	Mf	0.00499539	Malaysia	Sarawak	Human
ERR985399	Mf	0.00501685	Malaysia	Sarawak	Human
ERR985402	Mf	0.00504454	Malaysia	Sarawak	Human
ERR985378	Mf	0.00504731	Malaysia	Sarawak	Human
ERR985383	Mf	0.005084	Malaysia	Sarawak	Human
ERR985374	Mf	0.00511654	Malaysia	Sarawak	Human
ERR985379	Mf	0.00523491	Malaysia	Sarawak	Human
ERR985394	Mf	0.00525984	Malaysia	Sarawak	Human
ERR985406	Mf	0.00532283	Malaysia	Sarawak	Human
ERR985384	Mf	0.00533183	Malaysia	Sarawak	Human
ERR985407	Mf	0.00533737	Malaysia	Sarawak	Human
ERR985408	Mf	0.00534568	Malaysia	Sarawak	Human
ERR985400	Mf	0.0053526	Malaysia	Sarawak	Human
ERR985392	Mf	0.00535675	Malaysia	Sarawak	Human
ERR985389	Mf	0.00540313	Malaysia	Sarawak	Human
ERR985391	Mf	0.00542598	Malaysia	Sarawak	Human
ERR985390	Mf	0.00547028	Malaysia	Sarawak	Human
ERR985372	Mf	0.00548344	Malaysia	Sarawak	Human
ERR985401	Mf	0.00548759	Malaysia	Sarawak	Human
ERR985373	Mf	0.00560251	Malaysia	Sarawak	Human
ERR985393	Mf	0.00561704	Malaysia	Sarawak	Human
ERR985398	Mf	0.00580465	Malaysia	Sarawak	Human
ERR366426	Mf	0.0061584	Malaysia	Sarawak	Human
ERR985382	Mf	0.00623316	Malaysia	Sarawak	Human
ERR274225	Mn	0.00444019	Malaysia	Sarawak	Human
ERR274224	Mn	0.00469841	Malaysia	Sarawak	Human
ERR985415	Mn	0.00513177	Malaysia	Sarawak	Human
ERR985416	Mn	0.00523768	Malaysia	Sarawak	Human
ERR985419	Mn	0.00529168	Malaysia	Sarawak	Human
ERR985414	Mn	0.00529929	Malaysia	Sarawak	Human
ERR985418	Mn	0.00536921	Malaysia	Sarawak	Human
ERR985411	Mn	0.00551044	Malaysia	Sarawak	Human
ERR985412	Mn	0.00581642	Malaysia	Sarawak	Human
ERR366425	Mn	0.00598741	Malaysia	Sarawak	Human
ERR985413	Mn	0.00605179	Malaysia	Sarawak	Human
ERR2214849	Mn	0.00762808	Malaysia	Sarawak	Human
ERR2214838	Mn	0.00845741	Malaysia	Sarawak	Human
ERR2214852	Mn	0.0112825	Malaysia	Sarawak	Human
ERR3374058	Peninsular	0.00472817	Malaysia	Peninsular	Human
ERR3374033	Peninsular	0.158593	Malaysia	Peninsular	Human
ERR3374047	Peninsular	0.15884	Malaysia	Peninsular	Human
ERR3374052	Peninsular	0.158858	Malaysia	Peninsular	Human
ERR3374034	Peninsular	0.158878	Malaysia	Peninsular	Human
ERR3374031	Peninsular	0.159069	Malaysia	Peninsular	Human
ERR3374039	Peninsular	0.159139	Malaysia	Peninsular	Human
ERR3374044	Peninsular	0.15921	Malaysia	Peninsular	Human
ERR3374038	Peninsular	0.159229	Malaysia	Peninsular	Human
ERR3374046	Peninsular	0.1595	Malaysia	Peninsular	Human
ERR3374042	Peninsular	0.159515	Malaysia	Peninsular	Human
ERR3374035	Peninsular	0.159528	Malaysia	Peninsular	Human
ERR3374051	Peninsular	0.159666	Malaysia	Peninsular	Human
ERR3374037	Peninsular	0.15967	Malaysia	Peninsular	Human
ERR3374057	Peninsular	0.159731	Malaysia	Peninsular	Human
ERR3374043	Peninsular	0.159763	Malaysia	Peninsular	Human
ERR3374049	Peninsular	0.159896	Malaysia	Peninsular	Human
ERR3374032	Peninsular	0.159974	Malaysia	Peninsular	Human
ERR3374036	Peninsular	0.159981	Malaysia	Peninsular	Human
ERR3374045	Peninsular	0.159994	Malaysia	Peninsular	Human
ERR3374054	Peninsular	0.16027	Malaysia	Peninsular	Human
ERR3374040	Peninsular	0.160558	Malaysia	Peninsular	Human
ERR3374053	Peninsular	0.160733	Malaysia	Peninsular	Human
ERR3374055	Peninsular	0.160741	Malaysia	Peninsular	Human
