sample_id	country	geography	host
ERR2214838	Malaysia	Sarawak	Human
ERR2214849	Malaysia	Sarawak	Human
ERR2214852	Malaysia	Sarawak	Human
ERR274221	Malaysia	Sarawak	Human
ERR274222	Malaysia	Sarawak	Human
ERR274224	Malaysia	Sarawak	Human
ERR274225	Malaysia	Sarawak	Human
ERR3374031	Malaysia	Peninsular	Human
ERR3374032	Malaysia	Peninsular	Human
ERR3374033	Malaysia	Peninsular	Human
ERR3374034	Malaysia	Peninsular	Human
ERR3374035	Malaysia	Peninsular	Human
ERR3374036	Malaysia	Peninsular	Human
ERR3374037	Malaysia	Peninsular	Human
ERR3374038	Malaysia	Peninsular	Human
ERR3374039	Malaysia	Peninsular	Human
ERR3374040	Malaysia	Peninsular	Human
ERR3374042	Malaysia	Peninsular	Human
ERR3374043	Malaysia	Peninsular	Human
ERR3374044	Malaysia	Peninsular	Human
ERR3374045	Malaysia	Peninsular	Human
ERR3374046	Malaysia	Peninsular	Human
ERR3374047	Malaysia	Peninsular	Human
ERR3374049	Malaysia	Peninsular	Human
ERR3374051	Malaysia	Peninsular	Human
ERR3374052	Malaysia	Peninsular	Human
ERR3374053	Malaysia	Peninsular	Human
ERR3374054	Malaysia	Peninsular	Human
ERR3374055	Malaysia	Peninsular	Human
ERR3374057	Malaysia	Peninsular	Human
ERR3374058	Malaysia	Peninsular	Human
ERR366425	Malaysia	Sarawak	Human
ERR366426	Malaysia	Sarawak	Human
ERR985372	Malaysia	Sarawak	Human
ERR985373	Malaysia	Sarawak	Human
ERR985374	Malaysia	Sarawak	Human
ERR985377	Malaysia	Sarawak	Human
ERR985378	Malaysia	Sarawak	Human
ERR985379	Malaysia	Sarawak	Human
ERR985380	Malaysia	Sarawak	Human
ERR985381	Malaysia	Sarawak	Human
ERR985382	Malaysia	Sarawak	Human
ERR985383	Malaysia	Sarawak	Human
ERR985384	Malaysia	Sarawak	Human
ERR985385	Malaysia	Sarawak	Human
ERR985387	Malaysia	Sarawak	Human
ERR985388	Malaysia	Sarawak	Human
ERR985389	Malaysia	Sarawak	Human
ERR985390	Malaysia	Sarawak	Human
ERR985391	Malaysia	Sarawak	Human
ERR985392	Malaysia	Sarawak	Human
ERR985393	Malaysia	Sarawak	Human
ERR985394	Malaysia	Sarawak	Human
ERR985398	Malaysia	Sarawak	Human
ERR985399	Malaysia	Sarawak	Human
ERR985400	Malaysia	Sarawak	Human
ERR985401	Malaysia	Sarawak	Human
ERR985402	Malaysia	Sarawak	Human
ERR985403	Malaysia	Sarawak	Human
ERR985404	Malaysia	Sarawak	Human
ERR985406	Malaysia	Sarawak	Human
ERR985407	Malaysia	Sarawak	Human
ERR985408	Malaysia	Sarawak	Human
ERR985411	Malaysia	Sarawak	Human
ERR985412	Malaysia	Sarawak	Human
ERR985413	Malaysia	Sarawak	Human
ERR985414	Malaysia	Sarawak	Human
ERR985415	Malaysia	Sarawak	Human
ERR985416	Malaysia	Sarawak	Human
ERR985418	Malaysia	Sarawak	Human
ERR985419	Malaysia	Sarawak	Human
